Name_clean,Team Name,Year,bat_OBP,bat_SLG,bat_PA,pit_ERA,pit_IP
于森旭,富邦,2023,0.15789473684210525,0.18421052631578946,38.0,,
伍祐城,,2024,,,,2.7857142857142856,42.0
伍茲,,2023,,,,12.857142857142858,9.1
伍鐸,,2023,,,,2.5875,80.0
伍鐸,,2024,,,,3.3370786516853936,89.0
佐藤由規,,2023,,,,90.0,0.1
何恆佑,統一,2023,0.1956521739130435,0.2222222222222222,47.0,,
何恆佑,統一,2024,0.2028985507246377,0.2835820895522388,70.0,,
余德龍,樂天,2023,0.21568627450980393,0.2916666666666667,52.0,0.0,1.0
余德龍,樂天,2024,0.32592592592592595,0.3114754098360656,138.0,,
余謙,,2023,,,,4.984177215189873,63.2
余謙,,2024,,,,5.220994475138121,36.2
傅于剛,,2023,,,,2.903225806451613,3.1
傅于剛,,2024,,,,4.5,4.0
克迪,,2024,,,,2.770935960591133,81.2
全浩瑋,味全,2023,0.2,0.2,5.0,,
全浩瑋,味全,2024,0.14285714285714285,0.14285714285714285,15.0,,
冉承霖,味全,2023,0.3125,0.2413793103448276,32.0,,
冉承霖,味全,2024,0.14705882352941177,0.09375,35.0,,
劉予承,,2023,,,,4.909090909090908,22.0
劉予承,,2024,,,,4.479638009049773,22.1
劉俊緯,味全,2024,0.25748502994011974,0.27388535031847133,170.0,,
劉俊豪,富邦,2023,0.2596685082872928,0.26900584795321636,185.0,,
劉俊豪,富邦,2024,0.40425531914893614,0.42857142857142855,49.0,,
劉基鴻,味全,2023,0.3431372549019608,0.44967880085653106,511.0,,
劉基鴻,味全,2024,0.29957805907172996,0.3640552995391705,474.0,,
劉家愷,,2023,,,,0.0,0.1
劉家愷,,2024,,,,9.0,1.0
劉家翔,,2024,,,,15.75,4.0
劉昱言,,2023,,,,0.0,1.0
劉昱言,,2024,,,,3.8571428571428568,7.0
劉時豪,味全,2023,0.4,0.32786885245901637,74.0,,
劉時豪,味全,2024,0.3448275862068966,0.35294117647058826,59.0,,
劉貴元,中信,2024,0.6,1.0,5.0,,
劉軒荅,,2023,,,,1.966019417475728,41.2
劉軒荅,,2024,,,,8.114754098360656,12.2
勝騎士,,2023,,,,1.4469453376205788,62.2
勝騎士,,2024,,,,2.489000628535512,159.1
古林睿煬,,2023,,,,1.8,80.0
古林睿煬,,2024,,,,1.656,125.0
吉力吉撈鞏冠,味全,2023,0.3555045871559633,0.5257731958762887,436.0,,
吉力吉撈鞏冠,味全,2024,0.34448818897637795,0.47692307692307695,508.0,,
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,377.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.024,375.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.018789144050104383,479.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.043165467625899276,417.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.25916230366492143,382.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,521.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,393.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.024,375.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.02195121951219512,410.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,489.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,485.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.018072289156626505,498.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.05410821643286573,499.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,506.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.03956043956043956,455.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,377.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.024,375.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.018789144050104383,479.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.043165467625899276,417.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.25916230366492143,382.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,521.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,393.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.024,375.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.02195121951219512,410.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,489.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.0,485.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.018072289156626505,498.0
吉力吉撈．鞏冠,味全龍,2025,0.3366733466933868,0.5253863134657837,499.0,0.05410821643286573,499.0
